Label,Sentence,cleaned_text,tokenized_text,processed_text
neutral,"और, uh, मैं नहीं जानता अगर आप में से कोई है कि, लेकिन मैं वास्तव में टेप की एक प्रति चाहता हूँ।",और uh म नह जनत अगर आप म स कई ह क लकन म वसतव म टप क एक परत चहत ह,और uh म नह जनत अगर आप म स कई ह क लकन म वसतव म टप क एक परत चहत ह,uh म नह जनत अगर आप म स कई ह क लकन म वसतव म टप क एक परत चहत ह
neutral,हम सिर्फ वस्त्रों और रंगों के बहुत से परतों को देखना शुरू कर रहे हैं. उदाहरण के लिए एक गुलाबी पर एक सिर्फ नौसेना ब्लूज़....,हम सरफ वसतर और रग क बहत स परत क दखन शर कर रह ह उदहरण क लए एक गलब पर एक सरफ नसन बलज,हम सरफ वसतर और रग क बहत स परत क दखन शर कर रह ह उदहरण क लए एक गलब पर एक सरफ नसन बलज,हम सरफ वसतर रग क बहत स परत क दखन शर कर रह ह उदहरण क लए एक गलब पर एक सरफ नसन बलज
joy,मुझे सचमुच खुशी है कि हम आये. तुम बहुत सुंदर हो. मैं तुम्हें प्यार करता हूँ.,मझ सचमच खश ह क हम आय तम बहत सदर ह म तमह पयर करत ह,मझ सचमच खश ह क हम आय तम बहत सदर ह म तमह पयर करत ह,मझ सचमच खश ह क हम आय तम बहत सदर ह म तमह पयर करत ह
neutral,"ठीक है, यह एक आग है. ओह हाँ. ओह हाँ.",ठक ह यह एक आग ह ओह ह ओह ह,ठक ह यह एक आग ह ओह ह ओह ह,ठक ह एक आग ह ओह ह ओह ह
neutral,"मुझे क्षमा करें, मुझे क्षमा है, मैं आपको वापस बुलाने के लिए जा रहा हूँ, मैं अपने कार्यालय में एक स्कीम है.",मझ कषम कर मझ कषम ह म आपक वपस बलन क लए ज रह ह म अपन करयलय म एक सकम ह,मझ कषम कर मझ कषम ह म आपक वपस बलन क लए ज रह ह म अपन करयलय म एक सकम ह,मझ कषम कर मझ कषम ह म आपक वपस बलन क लए ज रह ह म अपन करयलय म एक सकम ह
neutral,मुझे खेद है।,मझ खद ह,मझ खद ह,मझ खद ह
neutral,"लेकिन आह, हे, ओह, कोई फोन से बाहर है, कैसे एक गिलास शराब आग के पास, मैं इसे फिर से चला जा सकता था।",लकन आह ह ओह कई फन स बहर ह कस एक गलस शरब आग क पस म इस फर स चल ज सकत थ,लकन आह ह ओह कई फन स बहर ह कस एक गलस शरब आग क पस म इस फर स चल ज सकत थ,लकन आह ह ओह कई फन स बहर ह कस एक गलस शरब आग क पस म इस फर स चल ज सकत थ
neutral,"रॉस तुम मेरी बात नहीं सुन रहे हो, मुझे रुकने का समय नहीं है।",रस तम मर बत नह सन रह ह मझ रकन क समय नह ह,रस तम मर बत नह सन रह ह मझ रकन क समय नह ह,रस तम मर बत नह सन रह ह मझ रकन क समय नह ह
neutral,"आओ राच, आपके पास क्या नहीं है, दस मिनट?",आओ रच आपक पस कय नह ह दस मनट,आओ रच आपक पस कय नह ह दस मनट,आओ रच आपक पस कय नह ह दस मनट
anger,मेरे पास दस मिनट नहीं हैं!!,मर पस दस मनट नह ह,मर पस दस मनट नह ह,मर पस दस मनट नह ह
neutral,"क्या? सोफी, उसके पास दस मिनट हैं?",कय सफ उसक पस दस मनट ह,कय सफ उसक पस दस मनट ह,कय सफ उसक पस दस मनट ह
anger,"अरे, रोस! मैंने तुम्हें बताया था कि मैं नहीं हूँ!",अर रस मन तमह बतय थ क म नह ह,अर रस मन तमह बतय थ क म नह ह,अर रस मन तमह बतय थ क म नह ह
sadness,"मुझे चिल्लाओ नहीं ठीक है, यह सबसे अधिक मैं सारे सप्ताह तुम देखा है।",मझ चललओ नह ठक ह यह सबस अधक म सर सपतह तम दख ह,मझ चललओ नह ठक ह यह सबस अधक म सर सपतह तम दख ह,मझ चललओ नह ठक ह सबस अधक म सर सपतह तम दख ह
neutral,"देखो, मैं यह अभी नहीं कर सकता है, ठीक है, मैं एक समय-सीमा है, तुम बस घर जाओ, मैं बाद में आप से बात करेंगे।",दख म यह अभ नह कर सकत ह ठक ह म एक समयसम ह तम बस घर जओ म बद म आप स बत करग,दख म यह अभ नह कर सकत ह ठक ह म एक समयसम ह तम बस घर जओ म बद म आप स बत करग,दख म अभ नह कर सकत ह ठक ह म एक समयसम ह तम बस घर जओ म बद म आप स बत करग
neutral,"हाँ, लेकिन प्रतीक्षा करो...",ह लकन परतकष कर,ह लकन परतकष कर,ह लकन परतकष कर
neutral,विदा!,वद,वद,वद
neutral,"वास्तव में, यह हमारे तीन छेद धक्की है।",वसतव म यह हमर तन छद धकक ह,वसतव म यह हमर तन छद धकक ह,वसतव म हमर तन छद धकक ह
surprise,ओह हाँ? कब?,ओह ह कब,ओह ह कब,ओह ह कब
neutral,मैं तुम्हें क्या कहूँगा।,म तमह कय कहग,म तमह कय कहग,म तमह कय कहग
neutral,"जब हम 40 साल हो जाएँ, यदि हममें से कोई भी विवाहित नहीं है, तो आप क्या कहते हैं कि आप और मैं एक साथ मिलते हैं और एक हो?",जब हम 40 सल ह जए यद हमम स कई भ ववहत नह ह त आप कय कहत ह क आप और म एक सथ मलत ह और एक ह,जब हम 40 सल ह जए यद हमम स कई भ ववहत नह ह त आप कय कहत ह क आप और म एक सथ मलत ह और एक ह,जब हम 40 सल ह जए यद हमम स कई भ ववहत नह ह त आप कय कहत ह क आप म एक सथ मलत ह एक ह
surprise,मैं 40 साल की उम्र में शादी क्यों नहीं करूँगा?,म 40 सल क उमर म शद कय नह करग,म 40 सल क उमर म शद कय नह करग,म 40 सल क उमर म शद कय नह करग
neutral,"ओह, नहीं, नहीं. मैं सिर्फ hypothetically मतलब था.",ओह नह नह म सरफ hypothetically मतलब थ,ओह नह नह म सरफ hypothetically मतलब थ,ओह नह नह म सरफ hypothetically मतलब थ
anger,"ठीक है, hypothetically, मैं 40 साल की उम्र में शादी क्यों नहीं करेंगे?",ठक ह hypothetically म 40 सल क उमर म शद कय नह करग,ठक ह hypothetically म 40 सल क उमर म शद कय नह करग,ठक ह hypothetically म 40 सल क उमर म शद कय नह करग
neutral,"नहीं, नहीं, नहीं।",नह नह नह,नह नह नह,नह नह नह
anger,यह क्या है? क्या मेरे बारे में मूलतः अपरिवारनीय कुछ है?,यह कय ह कय मर बर म मलत अपरवरनय कछ ह,यह कय ह कय मर बर म मलत अपरवरनय कछ ह,कय ह कय मर बर म मलत अपरवरनय कछ ह
neutral,"Uh, uh.",Uh uh,Uh uh,Uh uh
surprise,ठीक है?,ठक ह,ठक ह,ठक ह
surprise,प्रिय भगवान! यह पैराचुट एक बैग है!,परय भगवन यह परचट एक बग ह,परय भगवन यह परचट एक बग ह,परय भगवन परचट एक बग ह
surprise,"अरे. ओह, तुम्हें देखो, dressy-dress.",अर ओह तमह दख dressydress,अर ओह तमह दख dressydress,अर ओह तमह दख dressydress
surprise,क्या आप घर गए और बदले गए?,कय आप घर गए और बदल गए,कय आप घर गए और बदल गए,कय आप घर गए बदल गए
neutral,"हाँ, अच्छी तरह से, यह एक महत्वपूर्ण दिन है. मैं अच्छी तरह से देखने के लिए चाहता हूँ. हं, डा. फ्रांस्प्लो पास गया है?",ह अचछ तरह स यह एक महतवपरण दन ह म अचछ तरह स दखन क लए चहत ह ह ड फरसपल पस गय ह,ह अचछ तरह स यह एक महतवपरण दन ह म अचछ तरह स दखन क लए चहत ह ह ड फरसपल पस गय ह,ह अचछ तरह स एक महतवपरण दन ह म अचछ तरह स दखन क लए चहत ह ह ड फरसपल पस गय ह
neutral,"नहीं, मैंने उसे नहीं देखा है।",नह मन उस नह दख ह,नह मन उस नह दख ह,नह मन उस नह दख ह
surprise,"ठीक है, वह कहाँ है? वह यहाँ होना चाहिए. क्या होता है यदि बच्चे को उसकी जरूरत है?",ठक ह वह कह ह वह यह हन चहए कय हत ह यद बचच क उसक जररत ह,ठक ह वह कह ह वह यह हन चहए कय हत ह यद बचच क उसक जररत ह,ठक ह वह कह ह वह हन चहए कय हत ह यद बचच क उसक जररत ह
neutral,"राहेल, आप और डॉक्टरों के साथ, वैसे भी, क्या मामला है? क्या, जैसे, आपके पिता एक डॉक्टर था?",रहल आप और डकटर क सथ वस भ कय ममल ह कय जस आपक पत एक डकटर थ,रहल आप और डकटर क सथ वस भ कय ममल ह कय जस आपक पत एक डकटर थ,रहल आप डकटर क सथ वस भ कय ममल ह कय जस आपक पत एक डकटर थ
neutral,क्यों?,कय,कय,कय
neutral,कोई कारण नहीं।,कई करण नह,कई करण नह,कई करण नह
joy,मैं छुट्टियों के अरमेडिलो हूँ! मैं Santa's का एक दोस्त हूँ और उसने मुझे यहाँ भेजा है कि आप एक खुशहाल क्रिसमस की कामना करें!,म छटटय क अरमडल ह म Santas क एक दसत ह और उसन मझ यह भज ह क आप एक खशहल करसमस क कमन कर,म छटटय क अरमडल ह म Santas क एक दसत ह और उसन मझ यह भज ह क आप एक खशहल करसमस क कमन कर,म छटटय क अरमडल ह म Santas क एक दसत ह उसन मझ भज ह क आप एक खशहल करसमस क कमन कर
surprise,"सांता को क्या हुआ है, होली अर्माडिल्लो?",सत क कय हआ ह हल अरमडलल,सत क कय हआ ह हल अरमडलल,सत क कय हआ ह हल अरमडलल
joy,हाँ! हाँ! कृपया इसे मुझे दे दो!,ह ह कपय इस मझ द द,ह ह कपय इस मझ द द,ह ह कपय इस मझ द द
neutral,"हाँ, वह है।",ह वह ह,ह वह ह,ह वह ह
surprise,यह अविश्वसनीय है! मैं विश्वास नहीं कर सकता कि चिह्न काम नहीं किया!,यह अवशवसनय ह म वशवस नह कर सकत क चहन कम नह कय,यह अवशवसनय ह म वशवस नह कर सकत क चहन कम नह कय,अवशवसनय ह म वशवस नह कर सकत क चहन कम नह कय
neutral,पता है क्या काम करेगा?,पत ह कय कम करग,पत ह कय कम करग,पत ह कय कम करग
anger,मिठाई बनाना बंद करो!,मठई बनन बद कर,मठई बनन बद कर,मठई बनन बद कर
neutral,आप का मतलब है कि वे आप को पसंद करते हैं।,आप क मतलब ह क व आप क पसद करत ह,आप क मतलब ह क व आप क पसद करत ह,आप क मतलब ह क व आप क पसद करत ह
neutral,शायद।,शयद,शयद,शयद
surprise,क्या यही कारण है कि आप एक चाकर बन गए? तो लोग आप को पसंद करेंगे?,कय यह करण ह क आप एक चकर बन गए त लग आप क पसद करग,कय यह करण ह क आप एक चकर बन गए त लग आप क पसद करग,कय करण ह क आप एक चकर बन गए त लग आप क पसद करग
anger,"ओह, आप वास्तव में लोगों को आप को पसंद करने के बारे में बात करना चाहते हैं हू, हास्यास्पद आदमी?",ओह आप वसतव म लग क आप क पसद करन क बर म बत करन चहत ह ह हसयसपद आदम,ओह आप वसतव म लग क आप क पसद करन क बर म बत करन चहत ह ह हसयसपद आदम,ओह आप वसतव म लग क आप क पसद करन क बर म बत करन चहत ह ह हसयसपद आदम
anger,"हम मंच पर थे, नई सहस्राब्दि में दुनिया को नाचने के लिए तैयार थे, और आदमी ने चिल्लाया, ‘CUT!’",हम मच पर थ नई सहसरबद म दनय क नचन क लए तयर थ और आदम न चललय CUT,हम मच पर थ नई सहसरबद म दनय क नचन क लए तयर थ और आदम न चललय CUT,हम मच पर थ नई सहसरबद म दनय क नचन क लए तयर थ आदम न चललय CUT
surprise,"Uh, प्रतीक्षा, तो आप लोग मुझे बता रहे हैं कि आप वास्तव में आठवीं कक्षा से रिटर्न किया है?",Uh परतकष त आप लग मझ बत रह ह क आप वसतव म आठव ककष स रटरन कय ह,Uh परतकष त आप लग मझ बत रह ह क आप वसतव म आठव ककष स रटरन कय ह,Uh परतकष त आप लग मझ बत रह ह क आप वसतव म आठव ककष स रटरन कय ह
joy,"हाँ. लेकिन वास्तव में हम इसे थोड़ा अद्यतन करने के लिए था. Hey, वैसे ही, मुझे पकड़ने के बारे में अच्छी तरह से सोचने के लिए!",ह लकन वसतव म हम इस थड अदयतन करन क लए थ Hey वस ह मझ पकडन क बर म अचछ तरह स सचन क लए,ह लकन वसतव म हम इस थड अदयतन करन क लए थ Hey वस ह मझ पकडन क बर म अचछ तरह स सचन क लए,ह लकन वसतव म हम इस थड अदयतन करन क लए थ Hey वस ह मझ पकडन क बर म अचछ तरह स सचन क लए
joy,"'क्योंकि मैं कह रहा था कि तुम उस समय जिस तरह तुम लोगों ने इसे किया था, उस तरह समाप्त करने का कोई तरीका नहीं है।",कयक म कह रह थ क तम उस समय जस तरह तम लग न इस कय थ उस तरह समपत करन क कई तरक नह ह,कयक म कह रह थ क तम उस समय जस तरह तम लग न इस कय थ उस तरह समपत करन क कई तरक नह ह,कयक म कह रह थ क तम उस समय जस तरह तम लग न इस कय थ उस तरह समपत करन क कई तरक नह ह
surprise,क्या? हम यह कर सकते हैं!,कय हम यह कर सकत ह,कय हम यह कर सकत ह,कय हम कर सकत ह
joy,"मैं नहीं जानता, मेरा मतलब है आप बहुत बड़ा था, मेरा मतलब है, उस समय मजबूत।",म नह जनत मर मतलब ह आप बहत बड थ मर मतलब ह उस समय मजबत,म नह जनत मर मतलब ह आप बहत बड थ मर मतलब ह उस समय मजबत,म नह जनत मर मतलब ह आप बहत बड थ मर मतलब ह उस समय मजबत
neutral,"मैं यह कर सकता हूँ, ठीक है? चलो, चलो।",म यह कर सकत ह ठक ह चल चल,म यह कर सकत ह ठक ह चल चल,म कर सकत ह ठक ह चल चल
neutral,"1, 2, 3, 4, 5, 6, 7, 8",1 2 3 4 5 6 7 8,1 2 3 4 5 6 7 8,1 2 3 4 5 6 7 8
sadness,मैं नहीं कर सकता!,म नह कर सकत,म नह कर सकत,म नह कर सकत
neutral,"अब आप ऐसा करते हैं, आप टी. वी. पर हैं।",अब आप ऐस करत ह आप ट व पर ह,अब आप ऐस करत ह आप ट व पर ह,अब आप ऐस करत ह आप ट व पर ह
neutral,"तो, आप लोगों के लिए बाजार में क्या कर रहे हैं? हम uh, scarves, टूलप पोस्ट कार्ड हैं...",त आप लग क लए बजर म कय कर रह ह हम uh scarves टलप पसट करड ह,त आप लग क लए बजर म कय कर रह ह हम uh scarves टलप पसट करड ह,त आप लग क लए बजर म कय कर रह ह हम uh scarves टलप पसट करड ह
neutral,यह देखो? हा? हाँ. यह चीज़ है. क्या आप सोचते हैं?,यह दख ह ह यह चज ह कय आप सचत ह,यह दख ह ह यह चज ह कय आप सचत ह,दख ह ह चज ह कय आप सचत ह
neutral,"खैर, मुझे यह खरीदने के लिए नहीं है, ""मैं मूर्ख"" टी-शरीर अब है।",खर मझ यह खरदन क लए नह ह म मरख टशरर अब ह,खर मझ यह खरदन क लए नह ह म मरख टशरर अब ह,खर मझ खरदन क लए नह ह म मरख टशरर अब ह
neutral,"ठीक है, मैं इसे पसंद करता हूँ. यहाँ तुम जाओ.",ठक ह म इस पसद करत ह यह तम जओ,ठक ह म इस पसद करत ह यह तम जओ,ठक ह म इस पसद करत ह तम जओ
anger,"ठीक है, देखो, आप वास्तव में कि खरीद नहीं कर रहे हैं आप हैं? आप नहीं लगता है कि आप एक दिन के लिए मुझे काफी शर्मिंदा किया है?",ठक ह दख आप वसतव म क खरद नह कर रह ह आप ह आप नह लगत ह क आप एक दन क लए मझ कफ शरमद कय ह,ठक ह दख आप वसतव म क खरद नह कर रह ह आप ह आप नह लगत ह क आप एक दन क लए मझ कफ शरमद कय ह,ठक ह दख आप वसतव म क खरद नह कर रह ह आप ह आप नह लगत ह क आप एक दन क लए मझ कफ शरमद कय ह
surprise,"ओह, मैं तुम्हें परेशान करता हूँ?",ओह म तमह परशन करत ह,ओह म तमह परशन करत ह,ओह म तमह परशन करत ह
neutral,मैं ऐसा कहता हूँ कि मैं आपको नहीं जानता।,म ऐस कहत ह क म आपक नह जनत,म ऐस कहत ह क म आपक नह जनत,म ऐस कहत ह क म आपक नह जनत
neutral,ओह सचमुच? फिर क्यों कोई भी यहाँ उन्हें नहीं पहनता है?,ओह सचमच फर कय कई भ यह उनह नह पहनत ह,ओह सचमच फर कय कई भ यह उनह नह पहनत ह,ओह सचमच फर कय कई भ उनह नह पहनत ह
neutral,वे सभी पर्यटक हैं।,व सभ परयटक ह,व सभ परयटक ह,व सभ परयटक ह
disgust,"ठीक है, देखो, अगर आप यह पहनने पर जोर देते हैं, सार्वजनिक रूप से, तुम्हें पता है, तुम दोपहर का बाकी सब अपने आप में बिताने जा रहे हैं.",ठक ह दख अगर आप यह पहनन पर जर दत ह सरवजनक रप स तमह पत ह तम दपहर क बक सब अपन आप म बतन ज रह ह,ठक ह दख अगर आप यह पहनन पर जर दत ह सरवजनक रप स तमह पत ह तम दपहर क बक सब अपन आप म बतन ज रह ह,ठक ह दख अगर आप पहनन पर जर दत ह सरवजनक रप स तमह पत ह तम दपहर क बक सब अपन आप म बतन ज रह ह
neutral,ओह हाँ? अगर आप मुझे आप और टोपी के बीच चुनने के लिए जा रहे हैं? मैं टोपी चुनता हूँ.,ओह ह अगर आप मझ आप और टप क बच चनन क लए ज रह ह म टप चनत ह,ओह ह अगर आप मझ आप और टप क बच चनन क लए ज रह ह म टप चनत ह,ओह ह अगर आप मझ आप टप क बच चनन क लए ज रह ह म टप चनत ह
anger,अच्छा विकल्प।,अचछ वकलप,अचछ वकलप,अचछ वकलप
anger,"ठीक है, प्रतीक्षा करो. ठीक है, यह है, ठीक है, मैं यहाँ से बाहर हूँ. मैं अब शर्मिंदा नहीं जा रहा हूँ!",ठक ह परतकष कर ठक ह यह ह ठक ह म यह स बहर ह म अब शरमद नह ज रह ह,ठक ह परतकष कर ठक ह यह ह ठक ह म यह स बहर ह म अब शरमद नह ज रह ह,ठक ह परतकष कर ठक ह ह ठक ह म स बहर ह म अब शरमद नह ज रह ह
surprise,"तो! मैं सिर्फ एक खाली भाँच हूँ, हू?",त म सरफ एक खल भच ह ह,त म सरफ एक खल भच ह ह,त म सरफ एक खल भच ह ह
anger,"आप जानते हैं, इसलिए मैं जितना महत्वपूर्ण किताबें आप पढ़ते हैं, उतना नहीं पढ़ता और मैं ऐसी जादू कविताएं नहीं लिखता जो एक बात के बारे में लगती हैं लेकिन वास्तव में कुछ और के बारे में हैं।",आप जनत ह इसलए म जतन महतवपरण कतब आप पढत ह उतन नह पढत और म ऐस जद कवतए नह लखत ज एक बत क बर म लगत ह लकन वसतव म कछ और क बर म ह,आप जनत ह इसलए म जतन महतवपरण कतब आप पढत ह उतन नह पढत और म ऐस जद कवतए नह लखत ज एक बत क बर म लगत ह लकन वसतव म कछ और क बर म ह,आप जनत ह इसलए म जतन महतवपरण कतब आप पढत ह उतन नह पढत म ऐस जद कवतए नह लखत ज एक बत क बर म लगत ह लकन वसतव म कछ क बर म ह
neutral,"और तुम्हें पता है क्या, मैं मूर्ख चीज़ों के बारे में उत्साहित हो जाता है, जैसे जब मैं",और तमह पत ह कय म मरख चज क बर म उतसहत ह जत ह जस जब म,और तमह पत ह कय म मरख चज क बर म उतसहत ह जत ह जस जब म,तमह पत ह कय म मरख चज क बर म उतसहत ह जत ह जस जब म
surprise,"हू, हू, हू.",ह ह ह,ह ह ह,ह ह ह
anger,तुम मुझे भी नहीं जानते...,तम मझ भ नह जनत,तम मझ भ नह जनत,तम मझ भ नह जनत
surprise,"ओह, ओह, ओह, कविता आप के बारे में नहीं है।",ओह ओह ओह कवत आप क बर म नह ह,ओह ओह ओह कवत आप क बर म नह ह,ओह ओह ओह कवत आप क बर म नह ह
sadness,"खाली Vase आप के बारे में नहीं है. मेरा बच्चा, आप मुझे इतना दुख देता है कि आप यह सोचेंगे.",खल Vase आप क बर म नह ह मर बचच आप मझ इतन दख दत ह क आप यह सचग,खल Vase आप क बर म नह ह मर बचच आप मझ इतन दख दत ह क आप यह सचग,खल Vase आप क बर म नह ह मर बचच आप मझ इतन दख दत ह क आप सचग
sadness,"मुझे क्षमा है, मेरे दोस्त Phoebe...",मझ कषम ह मर दसत Phoebe,मझ कषम ह मर दसत Phoebe,मझ कषम ह मर दसत Phoebe
neutral,"नहीं, यह सभी महिलाओं के बारे में है. अच्छी तरह से, सभी अमेरिकी महिलाओं के बारे में है. आप अब बेहतर महसूस करते हैं?",नह यह सभ महलओ क बर म ह अचछ तरह स सभ अमरक महलओ क बर म ह आप अब बहतर महसस करत ह,नह यह सभ महलओ क बर म ह अचछ तरह स सभ अमरक महलओ क बर म ह आप अब बहतर महसस करत ह,नह सभ महलओ क बर म ह अचछ तरह स सभ अमरक महलओ क बर म ह आप अब बहतर महसस करत ह
neutral,ओह हाँ.,ओह ह,ओह ह,ओह ह
neutral,"ठीक है, आगे. आगे-stop! ठीक है, पीछे-stop! ठीक है, आगे-stop! Stop! Stop!",ठक ह आग आगstop ठक ह पछstop ठक ह आगstop Stop Stop,ठक ह आग आगstop ठक ह पछstop ठक ह आगstop Stop Stop,ठक ह आग आगstop ठक ह पछstop ठक ह आगstop Stop Stop
neutral,"ठीक है, यहाँ हम करने जा रहे हैं क्या है।",ठक ह यह हम करन ज रह ह कय ह,ठक ह यह हम करन ज रह ह कय ह,ठक ह हम करन ज रह ह कय ह
neutral,"ठीक है, मैं इस मिनी-वन में टूटने के लिए जा रहा हूँ और इसे तटस्थ में डालने के लिए जा रहा हूँ।",ठक ह म इस मनवन म टटन क लए ज रह ह और इस तटसथ म डलन क लए ज रह ह,ठक ह म इस मनवन म टटन क लए ज रह ह और इस तटसथ म डलन क लए ज रह ह,ठक ह म इस मनवन म टटन क लए ज रह ह इस तटसथ म डलन क लए ज रह ह
neutral,आप लोग इसे आगे बढ़ा ताकि रोस अपने स्थान से बाहर ड्राइव कर सकता है.,आप लग इस आग बढ तक रस अपन सथन स बहर डरइव कर सकत ह,आप लग इस आग बढ तक रस अपन सथन स बहर डरइव कर सकत ह,आप लग इस आग बढ तक रस अपन सथन स बहर डरइव कर सकत ह
neutral,"ठीक है, हम यहाँ जा रहे हैं।",ठक ह हम यह ज रह ह,ठक ह हम यह ज रह ह,ठक ह हम ज रह ह
neutral,हूल अज़ाब!,हल अजब,हल अजब,हल अजब
neutral,"तो यह कहा गया है कि 2030 तक, वहाँ कंप्यूटर होंगे जो एक वास्तविक मानव मस्तिष्क के समान कार्यों की संख्या निष्पादित कर सकते हैं।",त यह कह गय ह क 2030 तक वह कपयटर हग ज एक वसतवक मनव मसतषक क समन करय क सखय नषपदत कर सकत ह,त यह कह गय ह क 2030 तक वह कपयटर हग ज एक वसतवक मनव मसतषक क समन करय क सखय नषपदत कर सकत ह,त कह गय ह क 2030 तक वह कपयटर हग ज एक वसतवक मनव मसतषक क समन करय क सखय नषपदत कर सकत ह
neutral,तो सैद्धांतिक रूप से हम अपने विचारों और हमारी स्मृतियों को इस कंप्यूटर में डाउनलोड कर सकते हैं...,त सदधतक रप स हम अपन वचर और हमर समतय क इस कपयटर म डउनलड कर सकत ह,त सदधतक रप स हम अपन वचर और हमर समतय क इस कपयटर म डउनलड कर सकत ह,त सदधतक रप स हम अपन वचर हमर समतय क इस कपयटर म डउनलड कर सकत ह
joy,... और एक मशीन के रूप में हमेशा रहने के लिए!, और एक मशन क रप म हमश रहन क लए,और एक मशन क रप म हमश रहन क लए,एक मशन क रप म हमश रहन क लए
joy,"यह तो Janine है, आप-आप-आप क्या जानते हैं, आप जानते हैं कि हम अभी क्या कर रहे हैं?",यह त Janine ह आपआपआप कय जनत ह आप जनत ह क हम अभ कय कर रह ह,यह त Janine ह आपआपआप कय जनत ह आप जनत ह क हम अभ कय कर रह ह,त Janine ह आपआपआप कय जनत ह आप जनत ह क हम अभ कय कर रह ह
neutral,"आप और मैं, हम परस्पर संपर्क कर रहे हैं।",आप और म हम परसपर सपरक कर रह ह,आप और म हम परसपर सपरक कर रह ह,आप म हम परसपर सपरक कर रह ह
fear,"हाँ, मुझे जाना है।",ह मझ जन ह,ह मझ जन ह,ह मझ जन ह
joy,बा डम बम्ब चेशश!,ब डम बमब चशश,ब डम बमब चशश,ब डम बमब चशश
neutral,"डेविड, आप मुझे मदद कर सकते हैं?! मैं चंडलर को बताने की कोशिश कर रहा हूँ कि कैसे एक हवाई जहाज हवा में रहता है.",डवड आप मझ मदद कर सकत ह म चडलर क बतन क कशश कर रह ह क कस एक हवई जहज हव म रहत ह,डवड आप मझ मदद कर सकत ह म चडलर क बतन क कशश कर रह ह क कस एक हवई जहज हव म रहत ह,डवड आप मझ मदद कर सकत ह म चडलर क बतन क कशश कर रह ह क कस एक हवई जहज हव म रहत ह
neutral,"ओह, निश्चित रूप से. यह बर्नोली के सिद्धांत और न्यूटन की गति के तीसरे नियम के एक संयोजन है।",ओह नशचत रप स यह बरनल क सदधत और नयटन क गत क तसर नयम क एक सयजन ह,ओह नशचत रप स यह बरनल क सदधत और नयटन क गत क तसर नयम क एक सयजन ह,ओह नशचत रप स बरनल क सदधत नयटन क गत क तसर नयम क एक सयजन ह
neutral,देखो?,दख,दख,दख
fear,"हाँ, यह ""यह हवा के साथ कुछ करने के लिए है"" के रूप में एक ही है।",ह यह यह हव क सथ कछ करन क लए ह क रप म एक ह ह,ह यह यह हव क सथ कछ करन क लए ह क रप म एक ह ह,ह हव क सथ कछ करन क लए ह क रप म एक ह ह
neutral,"ठीक है, मैं यात्रा के लिए कुछ चीजें उठाने के लिए जाने जा रहा हूँ।",ठक ह म यतर क लए कछ चज उठन क लए जन ज रह ह,ठक ह म यतर क लए कछ चज उठन क लए जन ज रह ह,ठक ह म यतर क लए कछ चज उठन क लए जन ज रह ह
neutral,"ओह, मैं भी जाना चाहिए।",ओह म भ जन चहए,ओह म भ जन चहए,ओह म भ जन चहए
neutral,"ओह, अब... कल आप लोग हवाई अड्डे में एक टैक्सी साझा करना चाहते हैं या माइक और मैं सिर्फ वहाँ आप से मिलना चाहिए.",ओह अब कल आप लग हवई अडड म एक टकस सझ करन चहत ह य मइक और म सरफ वह आप स मलन चहए,ओह अब कल आप लग हवई अडड म एक टकस सझ करन चहत ह य मइक और म सरफ वह आप स मलन चहए,ओह अब कल आप लग हवई अडड म एक टकस सझ करन चहत ह य मइक म सरफ वह आप स मलन चहए
anger,"ओह... माइक की बहन ने अभी मुझे एक पार्टी में आज रात आमंत्रित किया है, वह वहाँ जा रहा है.",ओह मइक क बहन न अभ मझ एक परट म आज रत आमतरत कय ह वह वह ज रह ह,ओह मइक क बहन न अभ मझ एक परट म आज रत आमतरत कय ह वह वह ज रह ह,ओह मइक क बहन न अभ मझ एक परट म आज रत आमतरत कय ह वह वह ज रह ह
sadness,"और वह कह रही थी, ""ओह, चिंता मत करो!",और वह कह रह थ ओह चत मत कर,और वह कह रह थ ओह चत मत कर,वह कह रह थ ओह चत मत कर
neutral,मैंने उससे पूछा।,मन उसस पछ,मन उसस पछ,मन उसस पछ
anger,"वह तुमसे मिलने के लिए पूरी तरह ठीक है!""",वह तमस मलन क लए पर तरह ठक ह,वह तमस मलन क लए पर तरह ठक ह,वह तमस मलन क लए पर तरह ठक ह
joy,तो अब मुझे जाना है तो वह सोचेगा कि मैं उसे देखने के लिए पूरी तरह से ठीक हूँ!,त अब मझ जन ह त वह सचग क म उस दखन क लए पर तरह स ठक ह,त अब मझ जन ह त वह सचग क म उस दखन क लए पर तरह स ठक ह,त अब मझ जन ह त वह सचग क म उस दखन क लए पर तरह स ठक ह
anger,"जो कि आप नहीं है, क्योंकि आप पूरी तरह से उस पर लपका है!",ज क आप नह ह कयक आप पर तरह स उस पर लपक ह,ज क आप नह ह कयक आप पर तरह स उस पर लपक ह,ज क आप नह ह कयक आप पर तरह स उस पर लपक ह
neutral,ठीक है!,ठक ह,ठक ह,ठक ह
neutral,और आप चाहते हैं कि वह अपने दिल को बाहर खा जाए तो आप fabulous लगना होगा!,और आप चहत ह क वह अपन दल क बहर ख जए त आप fabulous लगन हग,और आप चहत ह क वह अपन दल क बहर ख जए त आप fabulous लगन हग,आप चहत ह क वह अपन दल क बहर ख जए त आप fabulous लगन हग
